sim,gate,omp,ctrl,tgt,qubits,gate_name,t_avg,t_ratio,kernel
LightningOMPBinStream,CNOT,1,1,0,30,CNOT,720.331,1/1000,AVX512
LightningOMPBinStream,CNOT,4,1,0,30,CNOT,191.869,1/1000,AVX512
LightningOMPBinStream,CNOT,16,1,0,30,CNOT,79.2688,1/1000,AVX512
LightningOMPBinStream,CNOT,32,1,0,30,CNOT,75.8498,1/1000,AVX512
LightningOMPBinStream,CNOT,1,1,2,30,CNOT,766.372,1/1000,AVX512
LightningOMPBinStream,CNOT,4,1,2,30,CNOT,191.743,1/1000,AVX512
LightningOMPBinStream,CNOT,16,1,2,30,CNOT,79.511,1/1000,AVX512
LightningOMPBinStream,CNOT,32,1,2,30,CNOT,76.0811,1/1000,AVX512
LightningOMPBinStream,CNOT,1,1,3,30,CNOT,705.328,1/1000,AVX512
LightningOMPBinStream,CNOT,4,1,3,30,CNOT,191.769,1/1000,AVX512
LightningOMPBinStream,CNOT,16,1,3,30,CNOT,79.6312,1/1000,AVX512
LightningOMPBinStream,CNOT,32,1,3,30,CNOT,76.0476,1/1000,AVX512
LightningOMPBinStream,CNOT,1,1,4,30,CNOT,723.65,1/1000,AVX512
LightningOMPBinStream,CNOT,4,1,4,30,CNOT,192.033,1/1000,AVX512
LightningOMPBinStream,CNOT,16,1,4,30,CNOT,79.6178,1/1000,AVX512
LightningOMPBinStream,CNOT,32,1,4,30,CNOT,76.1861,1/1000,AVX512
LightningOMPBinStream,CNOT,1,1,5,30,CNOT,720.141,1/1000,AVX512
LightningOMPBinStream,CNOT,4,1,5,30,CNOT,192.333,1/1000,AVX512
LightningOMPBinStream,CNOT,16,1,5,30,CNOT,79.4931,1/1000,AVX512
LightningOMPBinStream,CNOT,32,1,5,30,CNOT,76.1883,1/1000,AVX512
LightningOMPBinStream,CNOT,1,1,6,30,CNOT,705.599,1/1000,AVX512
LightningOMPBinStream,CNOT,4,1,6,30,CNOT,191.695,1/1000,AVX512
LightningOMPBinStream,CNOT,16,1,6,30,CNOT,79.4126,1/1000,AVX512
LightningOMPBinStream,CNOT,32,1,6,30,CNOT,76.0208,1/1000,AVX512
LightningOMPBinStream,CNOT,1,1,7,30,CNOT,699.985,1/1000,AVX512
LightningOMPBinStream,CNOT,4,1,7,30,CNOT,191.507,1/1000,AVX512
